epoch,train_loss,val_loss,val_wer,lr,time_elapsed
0,,169.7363739013672,0.9792514443397522,0.0001,31.01
1,298.06805419921875,143.7189483642578,0.9416200518608093,0.0001,84.81
2,183.95616149902344,94.38069152832031,0.8682544827461243,0.0001,137.32
3,144.65557861328125,61.604671478271484,0.906607449054718,0.0001,192.38
4,99.61587524414062,46.30500411987305,0.9067833423614502,0.0001,246.17
5,71.62934112548828,39.05875015258789,0.9060651063919067,0.0001,296.36
6,55.45033264160156,36.28261947631836,0.9079030752182007,0.0001,348.79
7,45.422279357910156,33.99844741821289,0.9063342213630676,0.0001,404.2
8,37.394371032714844,32.4945182800293,0.9074428081512451,0.0001,454.63
9,31.463214874267578,31.620145797729492,0.8964440226554871,0.0001,501.4
10,25.974416732788086,31.740066528320312,0.9024558663368225,0.0001,549.47
11,22.118955612182617,32.03113555908203,0.8993496298789978,0.0001,597.25
12,19.999805450439453,32.5811767578125,0.9102576375007629,0.0001,638.17
13,15.623702049255371,33.218177795410156,0.9199758768081665,0.0001,690.62
14,12.954154014587402,35.483882904052734,0.9245540499687195,0.0001,746.94
15,10.58840274810791,34.67543029785156,0.9189035296440125,0.0001,806.99
16,9.408934593200684,35.39799118041992,0.9001014232635498,0.0001,853.39
17,8.374934196472168,35.84756088256836,0.9182906746864319,0.0001,894.4
18,6.945782661437988,37.10161209106445,0.9083602428436279,0.0001,934.31
19,6.320042133331299,39.208194732666016,0.8952913880348206,0.0001,975.57
